created_at,entry_id,humidity,temp,lux,Noise,CO2
2024-05-21 12:00:00+02:00,1.5,24.915,54.8,354.17,33.72,757.5
2024-05-21 12:30:00+02:00,1.5,24.915,54.8,354.17,33.72,757.5
2024-05-21 13:00:00+02:00,1.5,24.915,54.8,354.17,33.72,757.5
2024-05-21 13:30:00+02:00,,,,,,
2024-05-21 14:00:00+02:00,,,,,,
2024-05-21 14:30:00+02:00,,,,,,
2024-05-21 15:00:00+02:00,,,,,,
2024-05-21 15:30:00+02:00,,,,,,
2024-05-21 16:00:00+02:00,,,,,,
2024-05-21 16:30:00+02:00,,,,,,
2024-05-21 17:00:00+02:00,,,,,,
2024-05-21 17:30:00+02:00,,,,,,
2024-05-21 18:00:00+02:00,,,,,,
2024-05-21 18:30:00+02:00,,,,,,
2024-05-21 19:00:00+02:00,,,,,,
2024-05-21 19:30:00+02:00,,,,,,
2024-05-21 20:00:00+02:00,,,,,,
2024-05-21 20:30:00+02:00,,,,,,
2024-05-21 21:00:00+02:00,,,,,,
2024-05-21 21:30:00+02:00,,,,,,
2024-05-21 22:00:00+02:00,,,,,,
2024-05-21 22:30:00+02:00,,,,,,
2024-05-21 23:00:00+02:00,,,,,,
2024-05-21 23:30:00+02:00,,,,,,
2024-05-22 00:00:00+02:00,,,,,,
2024-05-22 00:30:00+02:00,,,,,,
2024-05-22 01:00:00+02:00,,,,,,
2024-05-22 01:30:00+02:00,,,,,,
2024-05-22 02:00:00+02:00,,,,,,
2024-05-22 02:30:00+02:00,,,,,,
2024-05-22 03:00:00+02:00,,,,,,
2024-05-22 03:30:00+02:00,,,,,,
2024-05-22 04:00:00+02:00,,,,,,
2024-05-22 04:30:00+02:00,,,,,,
2024-05-22 05:00:00+02:00,,,,,,
2024-05-22 05:30:00+02:00,,,,,,
2024-05-22 06:00:00+02:00,,,,,,
2024-05-22 06:30:00+02:00,,,,,,
2024-05-22 07:00:00+02:00,,,,,,
2024-05-22 07:30:00+02:00,,,,,,
2024-05-22 08:00:00+02:00,,,,,,
2024-05-22 08:30:00+02:00,,,,,,
2024-05-22 09:00:00+02:00,,,,,,
2024-05-22 09:30:00+02:00,,,,,,
2024-05-22 10:00:00+02:00,,,,,,
2024-05-22 10:30:00+02:00,,,,,,
2024-05-22 11:00:00+02:00,6.5,20.9,73.9425,1237.0825,17.1275,1621.75
2024-05-22 11:30:00+02:00,15.75,21.682586206896552,73.11297413793102,1174.116422413793,41.726163793103446,1118.875
2024-05-22 12:00:00+02:00,28.666666666666668,21.881724137931034,71.50742720306512,1031.8092816091955,46.94522030651341,958.0944444444444
2024-05-22 12:30:00+02:00,54.666666666666664,22.330390804597698,68.82992720306513,918.5411149425287,60.56383141762452,633.8666666666667
2024-05-22 13:00:00+02:00,84.5,22.37622222222222,66.08466666666665,818.5743333333334,58.3688888888889,640.4666666666667
2024-05-22 13:30:00+02:00,114.5,22.293888888888887,64.19233333333334,813.4352222222223,58.81888888888889,646.5111111111111
2024-05-22 14:00:00+02:00,144.5,22.483888888888888,62.63255555555556,1041.5647777777779,58.99755555555555,646.0888888888888
2024-05-22 14:30:00+02:00,174.5,22.700777777777777,61.285222222222224,993.6295555555556,58.890222222222214,639.1666666666666
2024-05-22 15:00:00+02:00,204.5,23.225444444444445,59.98644444444445,1350.9721111111112,58.12822222222221,629.411111111111
2024-05-22 15:30:00+02:00,234.5,23.72388888888889,58.702333333333335,1290.1940000000002,58.034888888888894,611.0666666666666
2024-05-22 16:00:00+02:00,264.5,24.274666666666672,57.28933333333333,1635.055,57.599777777777774,600.0333333333333
2024-05-22 16:30:00+02:00,294.5,24.66433333333333,55.99144444444445,1588.1106666666667,58.955777777777776,588.811111111111
2024-05-22 17:00:00+02:00,324.5,24.816444444444443,54.964666666666666,1401.7685555555556,59.356,588.8888888888888
2024-05-22 17:30:00+02:00,354.3333333333333,24.72938314176245,54.13865134099617,1064.2919731800766,60.00005363984675,595.6927203065134
2024-05-22 18:00:00+02:00,384.0,24.57593869731801,53.487206896551726,697.6625287356322,59.3476091954023,602.8149425287356
2024-05-22 18:30:00+02:00,413.6666666666667,24.343160919540235,53.02565134099617,470.37563984674335,58.31094252873563,610.548275862069
2024-05-22 19:00:00+02:00,443.5,23.857,52.88022222222222,272.00977777777786,56.35155555555556,610.0555555555557
2024-05-22 19:30:00+02:00,473.5,23.408777777777775,52.713,254.58366666666674,56.681555555555555,609.3888888888889
2024-05-22 20:00:00+02:00,503.5,23.029555555555557,52.39022222222223,311.24966666666677,57.538666666666664,611.1444444444445
2024-05-22 20:30:00+02:00,533.5,22.755222222222226,52.217222222222226,313.95333333333343,59.385333333333335,616.0888888888888
2024-05-22 21:00:00+02:00,560.8333333333334,22.484650793650797,52.28825396825397,159.5971587301588,59.68838095238095,619.1031746031746
2024-05-22 21:30:00+02:00,574.5,22.26114285714286,52.459880952380956,75.17407142857155,60.08190476190476,617.9214285714286
2024-05-22 22:00:00+02:00,585.5,22.159285714285723,52.58642857142857,47.7371428571431,60.45714285714285,620.1428571428571
2024-05-22 22:30:00+02:00,,,,,,
2024-05-22 23:00:00+02:00,,,,,,
2024-05-22 23:30:00+02:00,,,,,,
2024-05-23 00:00:00+02:00,,,,,,
2024-05-23 00:30:00+02:00,,,,,,
2024-05-23 01:00:00+02:00,,,,,,
2024-05-23 01:30:00+02:00,,,,,,
2024-05-23 02:00:00+02:00,,,,,,
2024-05-23 02:30:00+02:00,,,,,,
2024-05-23 03:00:00+02:00,,,,,,
2024-05-23 03:30:00+02:00,,,,,,
2024-05-23 04:00:00+02:00,,,,,,
2024-05-23 04:30:00+02:00,,,,,,
2024-05-23 05:00:00+02:00,,,,,,
2024-05-23 05:30:00+02:00,,,,,,
2024-05-23 06:00:00+02:00,,,,,,
2024-05-23 06:30:00+02:00,,,,,,
2024-05-23 07:00:00+02:00,,,,,,
2024-05-23 07:30:00+02:00,,,,,,
2024-05-23 08:00:00+02:00,,,,,,
2024-05-23 08:30:00+02:00,,,,,,
2024-05-23 09:00:00+02:00,,,,,,
2024-05-23 09:30:00+02:00,,,,,,
2024-05-23 10:00:00+02:00,,,,,,
2024-05-23 10:30:00+02:00,,,,,,
2024-05-23 11:00:00+02:00,,,,,,
2024-05-23 11:30:00+02:00,,,,,,
2024-05-23 12:00:00+02:00,,,,,,
2024-05-23 12:30:00+02:00,,,,,,
2024-05-23 13:00:00+02:00,,,,,,
2024-05-23 13:30:00+02:00,,,,,,
2024-05-23 14:00:00+02:00,,,,,,
2024-05-23 14:30:00+02:00,,,,,,
2024-05-23 15:00:00+02:00,,,,,,
2024-05-23 15:30:00+02:00,,,,,,
2024-05-23 16:00:00+02:00,,,,,,
2024-05-23 16:30:00+02:00,,,,,,
2024-05-23 17:00:00+02:00,,,,,,
2024-05-23 17:30:00+02:00,,,,,,
2024-05-23 18:00:00+02:00,,,,,,
2024-05-23 18:30:00+02:00,,,,,,
2024-05-23 19:00:00+02:00,,,,,,
2024-05-23 19:30:00+02:00,,,,,,
2024-05-23 20:00:00+02:00,,,,,,
2024-05-23 20:30:00+02:00,,,,,,
2024-05-23 21:00:00+02:00,,,,,,
2024-05-23 21:30:00+02:00,,,,,,
2024-05-23 22:00:00+02:00,,,,,,
2024-05-23 22:30:00+02:00,,,,,,
2024-05-23 23:00:00+02:00,,,,,,
2024-05-23 23:30:00+02:00,,,,,,
2024-05-24 00:00:00+02:00,,,,,,
2024-05-24 00:30:00+02:00,,,,,,
2024-05-24 01:00:00+02:00,,,,,,
2024-05-24 01:30:00+02:00,,,,,,
2024-05-24 02:00:00+02:00,,,,,,
2024-05-24 02:30:00+02:00,,,,,,
2024-05-24 03:00:00+02:00,,,,,,
2024-05-24 03:30:00+02:00,,,,,,
2024-05-24 04:00:00+02:00,,,,,,
2024-05-24 04:30:00+02:00,,,,,,
2024-05-24 05:00:00+02:00,,,,,,
2024-05-24 05:30:00+02:00,,,,,,
2024-05-24 06:00:00+02:00,,,,,,
2024-05-24 06:30:00+02:00,,,,,,
2024-05-24 07:00:00+02:00,,,,,,
2024-05-24 07:30:00+02:00,,,,,,
2024-05-24 08:00:00+02:00,,,,,,
2024-05-24 08:30:00+02:00,,,,,,
2024-05-24 09:00:00+02:00,,,,,,
2024-05-24 09:30:00+02:00,,,,,,
2024-05-24 10:00:00+02:00,,,,,,
2024-05-24 10:30:00+02:00,,,,,,
2024-05-24 11:00:00+02:00,,,,,,
2024-05-24 11:30:00+02:00,,,,,,
2024-05-24 12:00:00+02:00,,,,,,
2024-05-24 12:30:00+02:00,,,,,,
2024-05-24 13:00:00+02:00,,,,,,
2024-05-24 13:30:00+02:00,,,,,,
2024-05-24 14:00:00+02:00,,,,,,
2024-05-24 14:30:00+02:00,,,,,,
2024-05-24 15:00:00+02:00,,,,,,
2024-05-24 15:30:00+02:00,,,,,,
2024-05-24 16:00:00+02:00,,,,,,
2024-05-24 16:30:00+02:00,,,,,,
2024-05-24 17:00:00+02:00,,,,,,
2024-05-24 17:30:00+02:00,,,,,,
2024-05-24 18:00:00+02:00,,,,,,
2024-05-24 18:30:00+02:00,,,,,,
2024-05-24 19:00:00+02:00,,,,,,
2024-05-24 19:30:00+02:00,,,,,,
2024-05-24 20:00:00+02:00,,,,,,
2024-05-24 20:30:00+02:00,,,,,,
2024-05-24 21:00:00+02:00,,,,,,
2024-05-24 21:30:00+02:00,,,,,,
2024-05-24 22:00:00+02:00,,,,,,
2024-05-24 22:30:00+02:00,,,,,,
2024-05-24 23:00:00+02:00,,,,,,
2024-05-24 23:30:00+02:00,,,,,,
2024-05-25 00:00:00+02:00,,,,,,
2024-05-25 00:30:00+02:00,,,,,,
2024-05-25 01:00:00+02:00,,,,,,
2024-05-25 01:30:00+02:00,,,,,,
2024-05-25 02:00:00+02:00,,,,,,
2024-05-25 02:30:00+02:00,,,,,,
2024-05-25 03:00:00+02:00,,,,,,
2024-05-25 03:30:00+02:00,,,,,,
2024-05-25 04:00:00+02:00,,,,,,
2024-05-25 04:30:00+02:00,,,,,,
2024-05-25 05:00:00+02:00,,,,,,
2024-05-25 05:30:00+02:00,,,,,,
