created_at,entry_id,temp,humidity,lux,Noise,CO2
2024-05-21 11:30:00+02:00,1.5,24.86,58.24,376.66499999999996,0.0,573.0
2024-05-21 12:00:00+02:00,1.5,24.86,58.24,376.66499999999996,0.0,573.0
2024-05-21 12:30:00+02:00,1.5,24.86,58.24,376.66499999999996,0.0,573.0
2024-05-21 13:00:00+02:00,,,,,,
2024-05-21 13:30:00+02:00,,,,,,
2024-05-21 14:00:00+02:00,,,,,,
2024-05-21 14:30:00+02:00,,,,,,
2024-05-21 15:00:00+02:00,,,,,,
2024-05-21 15:30:00+02:00,,,,,,
2024-05-21 16:00:00+02:00,,,,,,
2024-05-21 16:30:00+02:00,,,,,,
2024-05-21 17:00:00+02:00,,,,,,
2024-05-21 17:30:00+02:00,,,,,,
2024-05-21 18:00:00+02:00,,,,,,
2024-05-21 18:30:00+02:00,,,,,,
2024-05-21 19:00:00+02:00,,,,,,
2024-05-21 19:30:00+02:00,,,,,,
2024-05-21 20:00:00+02:00,,,,,,
2024-05-21 20:30:00+02:00,,,,,,
2024-05-21 21:00:00+02:00,,,,,,
2024-05-21 21:30:00+02:00,,,,,,
2024-05-21 22:00:00+02:00,,,,,,
2024-05-21 22:30:00+02:00,,,,,,
2024-05-21 23:00:00+02:00,,,,,,
2024-05-21 23:30:00+02:00,,,,,,
2024-05-22 00:00:00+02:00,,,,,,
2024-05-22 00:30:00+02:00,,,,,,
2024-05-22 01:00:00+02:00,,,,,,
2024-05-22 01:30:00+02:00,,,,,,
2024-05-22 02:00:00+02:00,,,,,,
2024-05-22 02:30:00+02:00,,,,,,
2024-05-22 03:00:00+02:00,,,,,,
2024-05-22 03:30:00+02:00,,,,,,
2024-05-22 04:00:00+02:00,,,,,,
2024-05-22 04:30:00+02:00,,,,,,
2024-05-22 05:00:00+02:00,,,,,,
2024-05-22 05:30:00+02:00,,,,,,
2024-05-22 06:00:00+02:00,,,,,,
2024-05-22 06:30:00+02:00,,,,,,
2024-05-22 07:00:00+02:00,,,,,,
2024-05-22 07:30:00+02:00,,,,,,
2024-05-22 08:00:00+02:00,,,,,,
2024-05-22 08:30:00+02:00,,,,,,
2024-05-22 09:00:00+02:00,,,,,,
2024-05-22 09:30:00+02:00,,,,,,
2024-05-22 10:00:00+02:00,,,,,,
2024-05-22 10:30:00+02:00,,,,,,
2024-05-22 11:00:00+02:00,,,,,,
2024-05-22 11:30:00+02:00,,,,,,
2024-05-22 12:00:00+02:00,,,,,,
2024-05-22 12:30:00+02:00,,,,,,
2024-05-22 13:00:00+02:00,,,,,,
2024-05-22 13:30:00+02:00,,,,,,
2024-05-22 14:00:00+02:00,,,,,,
2024-05-22 14:30:00+02:00,,,,,,
2024-05-22 15:00:00+02:00,,,,,,
2024-05-22 15:30:00+02:00,11.0,31.781176470588235,57.58588235294118,18383.333529411764,63.474705882352936,230.94117647058823
2024-05-22 16:00:00+02:00,22.75,34.568588235294115,54.291441176470585,17776.88893137255,66.94285294117647,243.77058823529413
2024-05-22 16:30:00+02:00,36.666666666666664,35.53028104575163,51.509960784313726,20550.231065359476,65.3947908496732,259.66928104575163
2024-05-22 17:00:00+02:00,64.5,36.367333333333335,46.68077777777777,20233.517888888888,64.1348888888889,279.18888888888887
